Estrutura,N,TempoBuscaRemocao(ns),TempoBalanceamento(ns),TempoTotal(ns)
AVL,10,1773400,4936200,6709600
RB,10,1008500,695400,1703900
SkipList,10,2000,0,2000
AVL,20,4294300,16725700,21020000
RB,20,2514700,1224500,3739200
SkipList,20,4700,0,4700
AVL,30,6939200,35069500,42008700
RB,30,4064300,2572000,6636300
SkipList,30,7100,0,7100
AVL,40,10622200,67711200,78333400
RB,40,6494100,2471100,8965200
SkipList,40,10000,0,10000
AVL,50,14369700,102499800,116869500
RB,50,8226100,4484300,12710400
SkipList,50,12400,0,12400
